product_type,product,display_type,display_size,height,width,depth,weight,memory_size,gpu,gpu_cnt,cpu,cpu_core_cnt,cpu_clock,strage_type,strage_volume,price
notebook,macbook,retina,12,1.31,28.1,19.7,0.92,8,intel_hd_graphics_5300,1,intel_core_m,2,1.1,flash,256,148800
notebook,macbook,retina,12,1.31,28.1,19.7,0.92,8,intel_hd_graphics_5300,1,intel_core_m,2,1.2,flash,512,184800
notebook,macbook_air,non_retina,11.6,1.7,30,19.2,1.08,4,intel_hd_graphics_6000,1,intel_core_i5,2,1.6,flash,128,102800
notebook,macbook_air,non_retina,11.6,1.7,30,19.2,1.08,4,intel_hd_graphics_6000,1,intel_core_i5,2,1.6,flash,256,126800
notebook,macbook_air,non_retina,13.3,1.7,32.5,22.7,1.35,4,intel_hd_graphics_6000,1,intel_core_i5,2,1.6,flash,128,112800
notebook,macbook_air,non_retina,13.3,1.7,32.5,22.7,1.35,4,intel_hd_graphics_6000,1,intel_core_i5,2,1.6,flash,256,136800
notebook,macbook_pro,non_retina,13.3,2.41,32.5,22.7,2.06,4,intel_hd_graphics_4000,1,intel_core_i5,2,2.5,hard_drive,500,126800
notebook,macbook_pro,retina,13.3,1.8,31.4,21.9,1.58,8,intel_hd_graphics_6100,1,intel_core_i5,2,2.7,flash,128,148800
notebook,macbook_pro,retina,13.3,1.8,31.4,21.9,1.58,8,intel_hd_graphics_6100,1,intel_core_i5,2,2.7,flash,256,172800
notebook,macbook_pro,retina,13.3,1.8,31.4,21.9,1.58,8,intel_hd_graphics_6100,1,intel_core_i5,2,2.9,flash,512,208800
notebook,macbook_pro,retina,15.4,1.8,35.9,24.7,2.04,16,intel_iris_pro_graphics,1,intel_core_i7,4,2.2,flash,256,224800
notebook,macbook_pro,retina,15.4,1.8,35.9,24.7,2.04,16,amd_raeon_r9_m370x,1,intel_core_i7,4,2.5,flash,512,282800
mini,mac_mini,NA,NA,3.6,19.7,19.7,1.19,4,intel_hd_graphics_5000,1,intel_core_i5,2,1.4,hard_drive,500,58800
mini,mac_mini,NA,NA,3.6,19.7,19.7,1.2,8,intel_iris_graphics,1,intel_core_i5,2,2.6,hard_drive,1000,82800
mini,mac_mini,NA,NA,3.6,19.7,19.7,1.22,8,intel_iris_graphics,1,intel_core_i5,2,2.8,fusion_drive,1000,118800
desktop,imac,non_retina,21.5,45,52.8,17.5,5.68,8,intel_hd_graphics_5000,1,intel_core_i5,2,1.4,hard_drive,500,126800
desktop,imac,non_retina,21.5,45,52.8,17.5,5.68,8,intel_iris_pro_graphics,1,intel_core_i5,4,2.7,hard_drive,1000,148800
desktop,imac,non_retina,21.5,45,52.8,17.5,5.68,8,nvidia_geforce_gt_750m,1,intel_core_i5,4,2.9,hard_drive,1000,172800
desktop,imac,non_retina,27,51.6,65,20.3,9.54,8,nvidia_geforce_gt_755m,1,intel_core_i5,4,3.2,hard_drive,1000,208800
desktop,imac,retina_5k,27,51.6,65,20.3,9.54,8,amd_radeon_r9_m290,1,intel_core_i5,4,3.3,hard_drive,1000,238800
desktop,imac,retina_5k,27,51.6,65,20.3,9.54,8,amd_radeon_r9_m290x,1,intel_core_i5,4,3.5,fusion_drive,1000,258800
pro,mac_pro,NA,NA,25.1,16.7,16.7,5,12,amd_firepro_d300,2,intel_xeon_e5,4,3.7,flash,256,348800
pro,mac_pro,NA,NA,25.1,16.7,16.7,5,16,amd_firepro_d500,2,intel_xeon_e5,6,3.5,flash,256,468800
