product,display_size,size,weight,cpu_core_cnt,cpu_clock,memory_size,strage_volume,gpu_benchmarks
macbook,12,49.11,0.92,2,1.1,8,256,372
macbook,12,49.11,0.92,2,1.2,8,512,372
macbook_air,11.6,50.9,1.08,2,1.6,4,128,778
macbook_air,11.6,50.9,1.08,2,1.6,4,256,778
macbook_air,13.3,56.9,1.35,2,1.6,4,128,778
macbook_air,13.3,56.9,1.35,2,1.6,4,256,778
macbook_pro,13.3,57.61,2.06,2,2.5,4,500,454
macbook_pro,13.3,55.1,1.58,2,2.7,8,128,947
macbook_pro,13.3,55.1,1.58,2,2.7,8,256,947
macbook_pro,13.3,55.1,1.58,2,2.9,8,512,947
macbook_pro,15.4,62.4,2.04,4,2.2,16,256,1191
macbook_pro,15.4,62.4,2.04,4,2.5,16,512,1191
ïΩãœ,13.15,55.1275,1.465,2.333333333,2.016666667,7.666666667,308.3333333,794.4166667
ïWèÄïŒç∑íl,1.21483881,4.343493458,0.405370201,0.745355992,0.606675824,4.149966533,150.6736724,267.4314424
,,,,,,,,
product,display_size,size,weight,cpu_core_cnt,cpu_clock,memory_size,strage_volume,gpu_benchmarks
macbook_low,40.53 ,63.85 ,63.44 ,45.53 ,34.89 ,50.80 ,46.53 ,34.20 
macbook_high,40.53 ,63.85 ,63.44 ,45.53 ,36.54 ,50.80 ,63.52 ,34.20 
macbook_air_11inch_low,37.24 ,59.73 ,59.50 ,45.53 ,43.13 ,41.16 ,38.03 ,49.39 
macbook_air_11inch_high,37.24 ,59.73 ,59.50 ,45.53 ,43.13 ,41.16 ,46.53 ,49.39 
macbook_air_13inch_low,51.23 ,45.92 ,52.84 ,45.53 ,43.13 ,41.16 ,38.03 ,49.39 
macbook_air_13inch_high,51.23 ,45.92 ,52.84 ,45.53 ,43.13 ,41.16 ,46.53 ,49.39 
macbook_pro_13inch,51.23 ,44.28 ,35.32 ,45.53 ,57.97 ,41.16 ,62.72 ,37.27 
macbook_pro_retina_13inch_low,51.23 ,50.06 ,47.16 ,45.53 ,61.26 ,50.80 ,38.03 ,55.71 
macbook_pro_retina_13inch_middle,51.23 ,50.06 ,47.16 ,45.53 ,61.26 ,50.80 ,46.53 ,55.71 
macbook_pro_retina_13inch_high,51.23 ,50.06 ,47.16 ,45.53 ,64.56 ,50.80 ,63.52 ,55.71 
macbook_pro_retina_15inch_low,68.52 ,33.26 ,35.82 ,72.36 ,53.02 ,70.08 ,46.53 ,64.83 
macbook_pro_retina_15inch_high,68.52 ,33.26 ,35.82 ,72.36 ,57.97 ,70.08 ,63.52 ,64.83 
,,,,,,,,
product,display_size,size,weight,cpu_core_cnt,cpu_clock,memory_size,strage_volume,gpu_benchmarks
macbook_low,78%,79%,45%,50%,38%,50%,50%,31%
macbook_high,78%,79%,45%,50%,41%,50%,100%,31%
macbook_air_11inch_low,75%,82%,52%,50%,55%,25%,25%,65%
macbook_air_11inch_high,75%,82%,52%,50%,55%,25%,50%,65%
macbook_air_13inch_low,86%,91%,66%,50%,55%,25%,25%,65%
macbook_air_13inch_high,86%,91%,66%,50%,55%,25%,50%,65%
macbook_pro_13inch,86%,92%,100%,50%,86%,25%,98%,38%
macbook_pro_retina_13inch_low,86%,88%,77%,50%,93%,50%,25%,80%
macbook_pro_retina_13inch_middle,86%,88%,77%,50%,93%,50%,50%,80%
macbook_pro_retina_13inch_high,86%,88%,77%,50%,100%,50%,100%,80%
macbook_pro_retina_15inch_low,100%,100%,99%,100%,76%,100%,50%,100%
macbook_pro_retina_15inch_high,100%,100%,99%,100%,86%,100%,100%,100%
